method,metoda,AUC-PR
metoda1-1,run1-1_ISOT_pr_curve.csv,1.0
metoda1-2,run1-2_ISOT_pr_curve.csv,1.0
metoda1-3,run1-3_ISOT_pr_curve.csv,1.0
metoda1-4,run1-4_ISOT_pr_curve.csv,1.0
metoda1-5,run1-5_ISOT_pr_curve.csv,1.0
metoda10,run10_ISOT_pr_curve.csv,1.0
metoda11,run11_ISOT_pr_curve.csv,1.0
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,1.0
metoda12-rf,run12-rf_ISOT_pr_curve.csv,1.0
metoda13,run13_ISOT_pr_curve.csv,1.0
metoda14,run14_ISOT_pr_curve.csv,1.0
metoda15,run15_ISOT_pr_curve.csv,1.0
metoda16,run16_ISOT_pr_curve.csv,1.0
metoda17,run17_ISOT_pr_curve.csv,1.0
metoda18,run18_ISOT_pr_curve.csv,1.0
metoda19,run19_ISOT_pr_curve.csv,1.0
metoda20,run20_ISOT_pr_curve.csv,1.0
metoda2,run2_ISOT_pr_curve.csv,1.0
metoda3,run3_ISOT_pr_curve.csv,1.0
metoda4,run4_ISOT_pr_curve.csv,0.75
metoda5,run5_ISOT_pr_curve.csv,1.0
metoda6,run6_ISOT_pr_curve.csv,1.0
metoda7,run7_ISOT_pr_curve.csv,1.0
metoda8,run8_ISOT_pr_curve.csv,1.0
metoda9,run9_ISOT_pr_curve.csv,1.0
